Trace,Scenario,TraceNumber,Median,Max,Min,SD,IQR,MaxDroughtLength,Driest10yr,Wettest10yr,demand,mead,powell,InitCombinedStorage,Neuron,Cluster
71,cmip5,38,11.43495509,19.34881122,7.265735407,2.862290866,3.559859573,11,11.5345759,12.9699193,5.960728992,1081.475805,3639.559603,25.19223337,9,6
78,cmip5,45,12.24993869,28.80053241,6.437704185,5.360677711,6.285372705,4,11.08347138,15.21941212,4.856306258,1096.336542,3653.425347,28.14534877,3,2
83,cmip5,50,10.72987435,18.03938023,4.494555681,2.973897631,4.32147286,24,8.263854135,12.75199804,4.67442136,1053.061406,3579.075851,17.1262271,24,8
89,cmip5,56,16.01945343,33.31929659,10.80785731,4.97197655,4.676572585,3,14.44165201,18.9343012,5.575135373,1029.969654,3560.211949,14.10516894,27,0
90,cmip5,57,12.89493057,21.54477735,6.374654322,3.897531019,4.833243707,7,11.95733706,14.55824342,5.025437052,1050.296205,3607.882216,19.42203992,34,3
92,cmip5,59,13.9324354,30.54333264,7.676945078,5.040359742,6.150511765,6,11.08402443,16.84533744,5.986437715,1092.293462,3623.590364,24.3413024,6,4
94,cmip5,61,11.66797213,28.29428764,7.023266639,4.658322368,5.537994251,11,10.42346477,14.91960435,4.930775887,1055.368202,3574.800137,16.96075128,6,4
95,cmip5,62,12.85863432,31.53848131,7.889306318,5.793801357,5.87791418,5,11.99295516,18.61549238,4.268610212,1072.591421,3608.941242,21.22461933,45,3
97,cmip5,64,13.86345851,33.55583112,7.234194629,5.551111068,5.315331034,7,11.34151049,16.34126673,5.660575724,1114.543525,3667.053341,31.57737806,1,1
101,npc_adjusted,4,11.38193752,20.68871602,7.523782266,3.895461003,6.68092284,4,11.28081811,14.06951629,4.820345056,1102.114691,3650.157646,28.25360022,4,4
103,npc_adjusted,6,12.64592869,24.76893738,5.380545447,4.66791011,6.42675808,7,11.94258169,14.99635823,5.020453934,1108.810177,3677.364585,32.456805,3,2
104,npc_adjusted,7,12.71347811,23.48385465,4.979809763,4.403818397,6.386289918,6,11.73099789,15.36229443,5.884447181,1078.905983,3596.751021,20.62183145,5,4
107,npc_adjusted,10,14.1578471,24.92528339,5.047796583,4.612222675,5.95762875,5,10.4426422,17.39840852,5.791952409,1005.928578,3553.96448,12.18130044,30,2
111,npc_adjusted,14,11.54030956,20.29647565,6.397958098,2.987821737,4.137944201,11,9.640394691,12.55973629,4.914090208,1083.08785,3634.216223,24.71381619,7,4
112,npc_adjusted,15,15.88829408,24.97340915,5.360160122,4.522603454,5.55099767,2,15.36687226,17.77184964,4.571011117,1020.921256,3523.541582,11.18370035,42,2
113,npc_adjusted,16,13.01048049,25.66241055,5.593160067,5.771628274,9.561895128,6,11.0407079,17.31507865,4.827306053,976.1692359,3528.109977,8.939654468,50,7
114,npc_adjusted,17,11.79075861,24.12153052,7.174007149,4.494099593,6.199962075,7,10.00011556,16.36283171,5.813273174,1016.62853,3524.386141,10.96517023,35,5
117,npc_adjusted,20,15.88196918,24.84096695,9.444284662,3.365788774,2.464856025,3,14.48415349,18.02719793,5.289410676,1109.886665,3696.852776,35.45592003,40,0
123,npc_adjusted,26,11.63430662,18.13491024,5.350059442,3.435258307,4.959191376,9,9.791354848,13.07970679,4.282340113,1078.264874,3618.807601,22.65593447,7,4
128,npc_adjusted,31,9.718684772,20.82091659,5.28976642,4.15389593,5.847024661,13,7.853017083,14.83455197,4.794464234,943.1109115,3499.100705,5.887797846,51,7
129,npc_adjusted,32,13.21148427,22.88113937,7.82764846,4.188082656,4.915088448,6,12.4858933,16.45797367,4.559869612,1053.520137,3591.713761,18.20159811,47,3
